,round,pick_no,first_name,last_name,position,team,owner_name
0,1,1,Patrick,Mahomes,QB,KC,gbr33
1,1,2,Josh,Allen,QB,BUF,ImThatGuyton
2,1,3,Christian,McCaffrey,RB,SF,UWjingle
3,1,4,Amon-Ra,St. Brown,WR,DET,LTConley
4,1,5,C.J.,Stroud,QB,HOU,StarchLordIV
5,1,6,Jalen,Hurts,QB,PHI,HMart13
6,1,7,Lamar,Jackson,QB,BAL,alexkabat
7,1,8,Justin,Jefferson,WR,MIN,WaltzingRunner
8,1,9,Joe,Burrow,QB,CIN,cconaway
9,1,10,CeeDee,Lamb,WR,DAL,Truth253
10,1,11,Ja'Marr,Chase,WR,CIN,CoolDude42
11,1,12,Caleb,Williams,QB,CHI,cpdrum
12,2,13,Bijan,Robinson,RB,ATL,cpdrum
13,2,14,Jordan,Love,QB,GB,CoolDude42
14,2,15,Jahmyr,Gibbs,RB,DET,Truth253
15,2,16,Marvin,Harrison,WR,ARI,cconaway
16,2,17,Justin,Herbert,QB,LAC,WaltzingRunner
17,2,18,Kyler,Murray,QB,ARI,alexkabat
18,2,19,Breece,Hall,RB,NYJ,HMart13
19,2,20,Puka,Nacua,WR,LAR,StarchLordIV
20,2,21,Sam,LaPorta,TE,DET,LTConley
21,2,22,Brock,Purdy,QB,SF,UWjingle
22,2,23,Anthony,Richardson,QB,IND,ImThatGuyton
23,2,24,Garrett,Wilson,WR,NYJ,gbr33
24,3,25,Trevor,Lawrence,QB,JAX,gbr33
25,3,26,A.J.,Brown,WR,PHI,ImThatGuyton
26,3,27,Tyreek,Hill,WR,MIA,UWjingle
27,3,28,Jared,Goff,QB,DET,LTConley
28,3,29,Malik,Nabers,WR,NYG,cconaway
29,3,30,Jayden,Daniels,QB,WAS,HMart13
30,3,31,Rome,Odunze,WR,CHI,alexkabat
31,3,32,Jonathan,Taylor,RB,IND,WaltzingRunner
32,3,33,Drake,London,WR,ATL,StarchLordIV
33,3,34,Dak,Prescott,QB,DAL,Truth253
34,3,35,Saquon,Barkley,RB,PHI,CoolDude42
35,3,36,Tua,Tagovailoa,QB,MIA,cpdrum
36,4,37,Brandon,Aiyuk,WR,SF,cpdrum
37,4,38,Tank,Dell,WR,HOU,CoolDude42
38,4,39,Trey,McBride,TE,ARI,Truth253
39,4,40,Chris,Olave,WR,NO,StarchLordIV
40,4,41,Travis,Etienne,RB,JAX,WaltzingRunner
41,4,42,Dalton,Kincaid,TE,BUF,alexkabat
42,4,43,DeVonta,Smith,WR,PHI,HMart13
43,4,44,Brock,Bowers,TE,LV,cconaway
44,4,45,Matthew,Stafford,QB,LAR,LTConley
45,4,46,Josh,Jacobs,RB,GB,UWjingle
46,4,47,Jaylen,Waddle,WR,MIA,ImThatGuyton
47,4,48,Michael,Pittman,WR,IND,gbr33
48,5,49,Kyren,Williams,RB,LAR,gbr33
49,5,50,De'Von,Achane,RB,MIA,ImThatGuyton
50,5,51,Travis,Kelce,TE,KC,UWjingle
51,5,52,Kenneth,Walker,RB,SEA,LTConley
52,5,53,Nico,Collins,WR,HOU,cconaway
53,5,54,Kyle,Pitts,TE,ATL,HMart13
54,5,55,Isiah,Pacheco,RB,KC,alexkabat
55,5,56,Zay,Flowers,WR,BAL,WaltzingRunner
