"Rank","Player","Team","Bye","POS","AVG"
"1","Justin Jefferson","MIN","6","WR1","1.0"
"2","CeeDee Lamb","DAL","7","WR2","2.0"
"3","Ja'Marr Chase","CIN","12","WR3","3.0"
"4","Amon-Ra St. Brown","DET","5","WR4","4.5"
"5","Bijan Robinson","ATL","12","RB1","5.5"
"6","Christian McCaffrey","SF","9 ","RB2","6.5"
"7","Marvin Harrison Jr.","ARI","11","WR5","7.0"
"8","Breece Hall","NYJ","12","RB3","7.0"
"9","A.J. Brown","PHI","5","WR6","10.5"
"10","Puka Nacua","LAR","6","WR7","10.5"
"11","Jahmyr Gibbs","DET","5","RB4","11.0"
"12","Tyreek Hill","MIA","6","WR8","11.5"
"13","Garrett Wilson","NYJ","12","WR9","11.5"
"14","Jonathan Taylor","IND","14","RB5","15.0"
"15","Sam LaPorta","DET","5","TE1","16.0"
"16","Malik Nabers","NYG","11","WR10","16.5"
"17","Chris Olave","NO","12","WR11","17.0"
"18","Travis Etienne Jr.","JAC","12","RB6","19.5"
"19","Saquon Barkley","PHI","5","RB7","20.5"
"20","Drake London","ATL","12","WR12","21.5"
"21","Jaylen Waddle","MIA","6","WR13","22.5"
"22","Brandon Aiyuk","SF","9 ","WR14","22.5"
"23","Kyren Williams","LAR","6","RB8","22.5"
"24","Patrick Mahomes II","KC","6","QB1","23.5"
"25","Josh Allen","BUF","12","QB2","26.0"
"26","De'Von Achane","MIA","6","RB9","26.0"
"27","DeVonta Smith","PHI","5","WR15","28.0"
"28","Nico Collins","HOU","14","WR16","28.5"
"29","Rome Odunze","CHI","7","WR17","29.5"
"30","Michael Pittman Jr.","IND","14","WR18","30.0"
"31","Jalen Hurts","PHI","5","QB3","32.5"
"32","C.J. Stroud","HOU","14","QB4","34.5"
"33","DJ Moore","CHI","7","WR19","34.5"
"34","Isiah Pacheco","KC","6","RB10","35.5"
"35","Trey McBride","ARI","11","TE2","35.5"
"36","DK Metcalf","PIT","9","WR20","36.5"
"37","Zay Flowers","BAL","14","WR21","38.5"
"38","Kenneth Walker III","SEA","10","RB11","38.5"
"39","Travis Kelce","KC","6","TE3","41.0"
"40","Lamar Jackson","BAL","14","QB5","42.0"
"41","Tank Dell","HU","14 O","WR22","42.0"
"42","Rachaad White","TB","11","RB12","44.0"
"43","Dalton Kincaid","BUF","12","TE4","44.0"
"44","George Pickens","DAL","7","WR23","46.5"
"45","Tee Higgins","CIN","12","WR24","46.5"
"46","Mark Andrews","BAL","14","TE5","46.5"
"47","Davante Adams","LAR","6","WR25","47.0"
"48","Brock Bowers","LV","10","TE6","47.0"
"49","Deebo Samuel Sr.","WAS","14","WR26","48.5"
"50","Josh Jacobs","GB","10","RB13","49.0"
"51","James Cook","BUF","12","RB14","49.0"
"52","Kyle Pitts","ATL","12","TE7","51.5"
"53","Anthony Richardson Sr.","IND","14","QB6","52.0"
"54","Xavier Worthy","KC","6","WR27","53.5"
"55","Jonathon Brooks","CAR","11 ","RB15","54.0"
"56","Stefon Diggs","NE","14 ","WR28","54.0"
"57","Derrick Henry","BAL","14","RB16","59.5"
"58","Mike Evans","TB","11","WR29","60.0"
"59","Jordan Addison","MIN","6","WR30","61.0"
"60","Joe Burrow","CIN","12","QB7","62.0"
"61","Jaxon Smith-Njigba","SEA","10","WR31","62.5"
"62","Rashee Rice","KC","6 ","WR32","62.5"
"63","Keon Coleman","BUF","12","WR33","63.0"
"64","Cooper Kupp","SEA","10","WR34","64.0"
"65","Caleb Williams","CHI","7","QB8","64.5"
"66","D'Andre Swift","CHI","7","RB17","68.0"
"67","Jayden Reed","GB","10","WR35","69.5"
"68","Joe Mixon","HOU","14","RB18","70.5"
"69","Jordan Love","GB","10","QB9","70.5"
"70","Rhamondre Stevenson","NE","14","RB19","70.5"
"71","Brian Thomas Jr.","JAC","12","WR36","71.0"
"72","Amari Cooper","","","WR37","71.5"
"73","Ladd McConkey","LAC","5","WR38","71.5"
"74","Alvin Kamara","NO","12","RB20","73.0"
"75","Trey Benson","ARI","11","RB21","73.5"
"76","George Kittle","SF","9","TE8","74.5"
"77","Kyler Murray","ARI","11","QB10","78.5"
"78","T.J. Hockenson","MIN","6","TE9","78.5"
"79","David Montgomery","DET","5","RB22","81.0"
"80","Evan Engram","DEN","14 ","TE10","81.5"
"81","Terry McLaurin","WAS","14","WR39","81.5"
"82","Christian Watson","GB","10","WR40","82.0"
"83","Christian Kirk","HU","14 O","WR41","82.5"
"84","Jayden Daniels","WAS","14","QB11","83.0"
"85","Najee Harris","LAC","5","RB23","84.0"
"86","Javonte Williams","DAL","7","RB24","85.0"
"87","Zamir White","LV","10 ","RB25","86.0"
"88","Diontae Johnson","CLE","10","WR42","86.5"
"89","Chris Godwin","TB","11 ","WR43","88.0"
"90","Jaylen Warren","PIT","9","RB26","91.0"
"91","Jake Ferguson","DAL","7","TE11","92.0"
"92","Tyjae Spears","TEN","5","RB27","92.0"
"93","Keenan Allen","","","WR44","93.5"
"94","Calvin Ridley","TEN","5","WR45","94.0"
"95","Tony Pollard","TEN","5","RB28","94.5"
"96","Justin Herbert","LAC","5 ","QB12","95.0"
"97","David Njoku","CLE","10","TE12","95.0"
"98","Aaron Jones Sr.","MIN","6","RB29","96.0"
"99","James Conner","ARI","11","RB30","98.5"
"100","Marquise Brown","KC","6","WR46","99.5"
"101","Ricky Pearsall","SF","9","WR47","100.0"
"102","Nick Chubb","HU","14 O","RB31","101.0"
"103","Brian Robinson Jr.","WAS","14","RB32","101.0"
"104","Xavier Legette","CAR","11","WR48","101.0"
"105","Blake Corum","LAR","6","RB33","101.0"
"106","Jameson Williams","DET","5","WR49","104.0"
"107","Dak Prescott","DAL","7 ","QB13","105.0"
