RK,WSID,Player Name,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
Tier 1,,Customize Tiers,,,,,,,
1,,Josh Allen (BUF),QB1,29,1,3,1.6,0.7,-
2,,Lamar Jackson (BAL),QB2,28,1,4,2.0,0.7,-
3,,Jayden Daniels (WAS),QB3,24,1,5,2.7,1.1,-
4,,Joe Burrow (CIN),QB4,28,3,10,5.0,1.5,-
5,,Jalen Hurts (PHI),QB5,26,3,9,5.1,1.3,-
Tier 2,,Customize Tiers,,,,,,,
6,,Ja'Marr Chase (CIN),WR1,25,4,9,6.8,1.5,-
7,,Justin Jefferson (MIN),WR2,26,4,10,7.8,1.5,-
8,,Patrick Mahomes II (KC),QB6,29,4,26,9.4,5.6,-
9,,CeeDee Lamb (DAL),WR3,26,8,18,11.5,3.0,-
10,,Bijan Robinson (ATL),RB1,23,7,19,13.1,3.9,-
Tier 3,,Customize Tiers,,,,,,,
11,,Justin Herbert (LAC),QB7,27,7,31,14.3,7.2,-
12,,Malik Nabers (NYG),WR4,21,5,22,14.4,3.7,-
13,,Jahmyr Gibbs (DET),RB2,23,9,23,16.0,4.2,-
14,,Amon-Ra St. Brown (DET),WR5,25,10,26,18.1,5.1,-
15,,Puka Nacua (LAR),WR6,24,11,29,18.2,4.7,-
16,,Drake Maye (NE),QB8,22,7,45,18.3,8.9,-
17,,Bo Nix (DEN),QB9,25,12,41,19.0,7.0,-
18,,Caleb Williams (CHI),QB10,23,8,56,19.9,11.2,-
19,,Brian Thomas Jr. (JAC),WR7,22,13,26,20.2,4.3,-
20,,Ashton Jeanty (LV),RB3,21,13,51,21.3,7.3,-
Tier 4,,Customize Tiers,,,,,,,
21,,C.J. Stroud (HOU),QB11,23,7,40,21.5,10.5,-
22,,Nico Collins (HOU),WR8,26,15,33,24.8,4.8,-
23,,Baker Mayfield (TB),QB12,30,9,50,26.2,9.6,-
24,,Kyler Murray (ARI),QB13,27,12,85,26.3,18.4,-
25,,Drake London (ATL),WR9,23,16,36,27.6,5.4,-
26,,Saquon Barkley (PHI),RB4,28,13,40,27.8,6.8,-
27,,Brock Bowers (LV),TE1,22,13,43,28.8,9.9,-
28,,Jordan Love (GB),QB14,26,11,58,29.0,14.4,-
29,,Brock Purdy (SF),QB15,25,16,76,29.8,13.9,-
30,,De'Von Achane (MIA),RB5,23,22,40,30.4,5.3,-
31,,Ladd McConkey (LAC),WR10,23,22,41,31.6,5.0,-
32,,A.J. Brown (PHI),WR11,28,24,41,31.6,4.9,-
Tier 5,,Customize Tiers,,,,,,,
