,round,pick_no,first_name,last_name,position,team,owner_name
0,1,1,Ashton,Jeanty,RB,LV,cconaway
1,1,2,Omarion,Hampton,RB,LAC,StarchLordIV
2,1,3,Travis,Hunter,WR,JAX,gbr33
3,1,4,Cameron,Ward,QB,TEN,LTConley
4,1,5,Tetairoa,McMillan,WR,CAR,WaltzingRunner
5,1,6,Kaleb,Johnson,RB,PIT,cpdrum
6,1,7,Luther,Burden,WR,CHI,alexkabat
7,1,8,Tyler,Warren,TE,IND,CoolDude42
8,1,9,TreVeyon,Henderson,RB,NE,ImThatGuyton
9,1,10,RJ,Harvey,RB,DEN,HMart13
10,1,11,Emeka,Egbuka,WR,TB,Truth253
11,1,12,Quinshon,Judkins,RB,CLE,UWjingle
12,2,13,Matthew,Golden,WR,GB,CoolDude42
13,2,14,Jaxson,Dart,QB,NYG,CoolDude42
14,2,15,Colston,Loveland,TE,CHI,cpdrum
15,2,16,Mason,Taylor,TE,NYJ,LTConley
16,2,17,Cam,Skattebo,RB,NYG,alexkabat
17,2,18,Tre,Harris,WR,LAC,cpdrum
18,2,19,Jack,Bech,WR,LV,StarchLordIV
19,2,20,Bhayshul,Tuten,RB,JAX,cpdrum
20,2,21,Jayden,Higgins,WR,HOU,HMart13
21,2,22,Jaydon,Blue,RB,DAL,ImThatGuyton
22,2,23,Jalen,Milroe,QB,SEA,Truth253
23,2,24,Jaylin,Noel,WR,HOU,UWjingle
24,3,25,Tyler,Shough,QB,NO,cpdrum
25,3,26,Ollie,Gordon,RB,MIA,HMart13
26,3,27,Dylan,Sampson,RB,CLE,gbr33
27,3,28,Jalen,Royals,WR,KC,LTConley
28,3,29,Devin,Neal,RB,NO,WaltzingRunner
29,3,30,Terrance,Ferguson,TE,LAR,gbr33
30,3,31,Elic,Ayomanor,WR,TEN,ImThatGuyton
31,3,32,Shedeur,Sanders,QB,CLE,cconaway
32,3,33,Kyle,Williams,WR,NE,StarchLordIV
33,3,34,Damien,Martinez,RB,SEA,ImThatGuyton
34,3,35,Elijah,Arroyo,TE,SEA,Truth253
35,3,36,Harold,Fannin,TE,CLE,UWjingle
36,4,37,Will,Howard,QB,PIT,StarchLordIV
37,4,38,Isaiah,Bond,WR,,CoolDude42
38,4,39,Dillon,Gabriel,QB,CLE,gbr33
39,4,40,Jordan,James,RB,SF,LTConley
40,4,41,Tez,Johnson,WR,TB,WaltzingRunner
41,4,42,Jarquez,Hunter,RB,LAR,cpdrum
42,4,43,DJ,Giddens,RB,IND,alexkabat
43,4,44,Kyle,Monangai,RB,CHI,cpdrum
44,4,45,Tory,Horton,WR,SEA,HMart13
45,4,46,Brashard,Smith,RB,KC,StarchLordIV
46,4,47,Quinn,Ewers,QB,MIA,Truth253
47,4,48,Kurtis,Rourke,QB,SF,UWjingle
